"ID","Title","Column","OwnerRole","Deliverable","PlanLink","Notes"
"ST-G-004","Doc sync playbook","Done - 2025-11-12","Docs/Governance","Added docs/CODEX_DOC_SYNC_PLAYBOOK.md and updated the instruction stack/operations guide so handoffs always include plan + Task Board + backlog updates.","docs/plans/PlanG_ReleaseGovernance.md","Referenced in README and plan timeline."
"ST-A-005","Dispatcher alert integration","Done - 2025-12-22","Ingestion/Telemetry","Dispatcher harness flushes telemetry buffer; queue delay summary Logs/IngestionMetrics/QueueDelaySummary-2025-12-22.json (20 samples, QueueBuildDelay p95 25.60 ms, p99 33.57 ms) sourced from Logs/IngestionMetrics/2025-12-22.json. Scheduler telemetry now flushes at parse completion and analyzer ignores synthesized events when real launches exist; pipeline run passes scheduler fairness (max streak 1) in Logs/Reports/ParserSchedulerLaunch-2025-12-22.json and docs/performance/SchedulerVsPortDiversity-2025-12-22.md. Port batch diversity guard uses synthesized events; Logs/Reports/PortBatchSiteDiversity-2025-12-22.json max streak 1.","docs/plans/PlanA_RoutingReliability.md",""
"ST-A-006","Routing evidence bundle linkage","Done - 2025-12-22","Ingestion/PMO","Routing bundle published at Logs/TelemetryBundles/Routing-20251222/Routing (queue summary + dispatcher harness sweep + session log + scheduler comparison).","docs/plans/PlanA_RoutingReliability.md",""
"ST-A-007","Roadmap M2: Routing discovery baseline","Backlog","PMO/Routing","Roadmap M2 (docs/StateTrace_Quarterly_Roadmap.md): discovery sessions + canonical RouteRecord/RouteHealthSnapshot schemas + routing data architecture notes; exit criteria: stakeholder-aligned route definitions, telemetry inventory gap analysis, reviewed diagrams.","docs/plans/PlanA_RoutingReliability.md",""
"ST-B-008","Publish warm-run telemetry bundles","Backlog","Ingestion/PMO","Run Tools/Publish-TelemetryBundle.ps1 after each cold+warm run to copy cold/warm telemetry, shared-cache analyzers, diff hotspots, and doc-sync notes into Logs/TelemetryBundles/<bundle>/.","docs/plans/PlanB_Performance.md",""
"ST-B-009","Toggle skip-site-cache policy safely","In Progress","Ingestion","Guard module now flips SkipSiteCacheUpdate off/on for pipeline (-DisableSkipSiteCacheUpdate), warm-run telemetry, and shared-cache warmup; runbook updated. Warm harness now emits comparisons even when DB writes are sparse. Latest guarded run (WarmRunTelemetry-20251201-guard-skipdiv7.json, port diversity guard skipped) improved vs cold (+8.95%: warm avg 898.585 ms, cold 986.951 ms); warm providers Cache=2,302/Refresh=182/Hydrate=20/MissingDatabase=62 (WarmCacheHitRatioPercent=89.71, SignatureMatchMissCount=176); queue summary emitted; shared-cache analyzer shows SnapshotImported=1 (still low) and GetMiss=170. Earlier guarded run (logs moved to DebugLogs/) had warm AccessCacheHit=14/AccessRefresh=0 with queue delay p95/p99=0.47/0.87 ms).","docs/plans/PlanB_Performance.md",""
"ST-B-010","Roadmap M1: Multi-DB ingestion foundation","Backlog","Ingestion/Performance","Roadmap M1 (docs/StateTrace_Quarterly_Roadmap.md): per-site queue + adaptive runspace pool, incremental persistence + parameterized commands, nightly Maintain-AccessDatabases.ps1 compaction; exit criteria: no ACE/JET contention at 8 workers, throughput drop <=5% when doubling DBs, 14-day maintenance run success.","docs/plans/PlanB_Performance.md",""
"ST-C-001","Roadmap M3: Diff prototype & launch metrics instrumentation","Backlog","Parser/Analytics","Roadmap M3 (docs/StateTrace_Quarterly_Roadmap.md): diff data model prototype + metrics in Logs/Research/DiffPrototype, Phase 1 telemetry dictionary, launch metrics dashboard wireframes; exit criteria: diff prototype emits versioned snapshots, telemetry events stored locally, wireframes approved.","docs/plans/PlanC_ChangeTracking.md",""
"ST-E-003","Schedule daily rollup harness","Done - 2025-12-22","Telemetry","Use Tools/Schedule-DailyRollupTask.ps1 (or CI) to register the daily rollup harness and log cadence + CSV path in Plan E.","docs/plans/PlanE_Telemetry.md","Re-registered StateTraceDailyRollup to repo path; manual rollup (Days=30) wrote Logs/IngestionMetrics/IngestionMetricsSummary-20251222-060953.csv. Reran Invoke-StateTracePipeline with -SkipPortDiversityGuard to generate same-day metrics and scheduled task run succeeded (Last Result=0), producing Logs/IngestionMetrics/IngestionMetricsSummary-20251222-071331.csv; queue delay summary had 0 samples; InterfaceSyncTiming summary empty."
"ST-E-007","Release-readiness telemetry bundle","Backlog","Telemetry/PMO","Produce Logs/TelemetryBundles/<date>/ bundles via Tools/Publish-TelemetryBundle.ps1 (auto-discovers rollup CSVs, analyzers, warm summaries, doc-sync refs) and verify per docs/runbooks/Telemetry_Bundle_Verification.md (README hash + readiness output logged).","docs/plans/PlanE_Telemetry.md",""
"ST-E-008","Task board alignment","Backlog","Telemetry","Keep Task Board + CSV entries current for telemetry tasks/bundle links.","docs/plans/PlanE_Telemetry.md",""
"ST-E-009","Plan A telemetry bundle handoff","Backlog","Telemetry/Routing","Ensure Tools/Publish-TelemetryBundle.ps1 runs include routing/dispatcher logs from Plan A ST-A-006 (use -AreaName Routing).","docs/plans/PlanE_Telemetry.md",""
"ST-F-003","NetOps session log enforcement","Done - 2025-11-13","Automation/Security","Tools/Test-NetOpsEvidence.ps1 + Tools/Invoke-AllChecks.ps1 -RequireNetOpsEvidence ensure NetOps/reset logs (with reasons) and session references exist whenever STATETRACE_AGENT_ALLOW_* is used; lint now skips directory resolution when offline.","docs/plans/PlanF_SecurityIdentity.md",""
"ST-F-009","Online-mode reset automation","Done - 2025-11-13","Automation/Security","Tools/Reset-OnlineModeFlags.ps1 -Reason \<plan/task>\"" clears STATETRACE_AGENT_ALLOW_*","records the reason","and writes Logs/NetOps/Resets/OnlineModeReset-<timestamp>.json; cite the log path + reason in Plan F updates"
"ST-G-001","Update release checklist with shared cache snapshot policy","Done - 2025-12-22","Release","Added shared cache snapshot verification steps to docs/Release.md referencing SharedCacheSnapshot-latest-summary.json and Tools/Test-SharedCacheSnapshot.ps1.","docs/plans/PlanG_ReleaseGovernance.md",""
"ST-G-002","Link roadmap milestones to task board IDs","Done - 2025-12-22","PMO","Added Task Board IDs to the Q4 roadmap and created matching milestone cards (ST-A-007/ST-B-010/ST-C-001) in the Task Board/CSV.","docs/plans/PlanG_ReleaseGovernance.md",""
"ST-G-006","Doc-sync enforcement hook","Done - 2025-12-22","Docs/Governance","Added Tools/Test-DocSyncChecklist.ps1 to validate plan/task board/backlog/session log updates and emit JSON summaries; Tools/Invoke-AllChecks.ps1 supports -RequireDocSyncChecklist with auto-output; runbook/playbook/checklist updated.","docs/plans/PlanG_ReleaseGovernance.md",""
"ST-G-007","Telemetry bundle integration","Backlog","Release/Telemetry","Require telemetry bundle links (Tools/Publish-TelemetryBundle.ps1 / Tools/New-TelemetryBundle.ps1), run Tools/Test-TelemetryBundleReadiness.ps1 -IncludeReadmeHash -SummaryPath per docs/runbooks/Telemetry_Bundle_Verification.md, and record README hashes + VerificationSummary.json path before approvals.","docs/plans/PlanG_ReleaseGovernance.md",""
"ST-G-008","Risk register linkage","Backlog","PMO","Reference relevant RiskRegister entries + mitigations inside bundle README and release notes.","docs/plans/PlanG_ReleaseGovernance.md",""
"ST-H-001","Launch user onboarding + freshness visibility","In Progress","UI/Docs","Quickstart anchor added to Operators runbook, UI smoke checklist updated, headless harness emits a summary (`-SummaryPath`), toolbar Help opens the quickstart anchor, and the toolbar shows last-ingest freshness per site. Next: add cache-source telemetry and capture UI screenshots.","docs/plans/PlanH_UserExperience.md",""
"ST-H-004","Fix search/alerts port sorting","Done - 2025-12-19","UI","Search + Alerts views sort ports by PortSort keys; async refresh proceeds when interface data is already loaded even if InterfacesLoadAllowed is false, and the Insights worker merges queued view requests so search/alerts refresh is not dropped by later updates.","docs/plans/PlanH_UserExperience.md",""
"ST-H-005","Headless Search/Alerts smoke harness","Done - 2025-12-19","UI","Added Tools/Invoke-SearchAlertsSmokeTest.ps1 to load Search/Alerts in a hidden WPF host and assert grid binding; UI smoke checklist + Codex runbook now call out the headless check and require it for new UI features/functions, and Tools/Invoke-AllChecks.ps1 runs it by default.","docs/plans/PlanH_UserExperience.md",""
"ST-E-010","Harden telemetry buffer concurrency","Done - 2025-12-19","Telemetry","Telemetry buffer and shared cache event arrays now use runspace-safe locks to prevent concurrent list mutation; Pester pass.","docs/plans/PlanE_Telemetry.md",""
"ST-K-005","Code review findings remediation (batch 1)","Done - 2025-12-21","Automation","Address high-severity items from docs/notes/2025-12-21_code_review_findings.md and log status updates there; findings 1-3, 4-6, 7-14, 15-33, 34-54, 55-63, 65-69, 70-76, 72, 77, 81-86, 88-98, and 99-100 complete; 64 verified locked (schema warnings, DeviceDetails/Insights diagnostics, parser/filter/repo cleanup warnings, cache event caps, module import warnings, tooling JSON helper, streamed telemetry parsing, cache sync, bounded polling/timeouts, export dialog suppression with view/headless opt-in).","docs/plans/PlanK_DeveloperExperience.md",""

